I_Id,I_Name,I_cat,I_rs,I_loc,I_ki,istock
244,DAL TADKA METHI,5,100,0,2,0
146,HALF PANIR SABJI,4,70,0,2,0
149,THAW ROTI,6,10,0,2,-16
150,THAVA ROTI. BT,6,15,0,2,-10
152,BT PARATA,6,40,0,2,3
153,PARATA,6,35,0,2,0
394,TOMATO UTTHAPP,27,70,0,1,0
514,SADA DOSA,31,60,0,1,-1
405,punjabi tabal sales ,1,1,0,2,0
164,ALU PARATH,6,40,0,2,0
165,ALU PARATH BT,6,45,0,2,0
403,out dor order punjabi,1,1,0,2,0
169,PANIR PULAV,7,110,0,2,0
170,MUSHRUM BIRYANI,7,130,0,2,0
171,KASHMIRI BIRYANI,7,130,0,2,0
172,VEG BIRYANI,7,90,0,2,-1
173,KASHMIRI PULAV,7,130,0,2,0
174,GREN PEAS PULAV,7,90,0,2,0
175,JERA RICE,7,60,0,2,0
176,DAL KICHIDI,7,90,0,2,0
177,PALAK KICHDI,7,90,0,2,0
178,PLAIN RICE,7,50,0,2,0
334,VEG  PULAV,7,90,0,2,-1
180,TOMATO SOUP,8,60,0,2,0
181,MANCHU SOUP,8,60,0,2,0
182,MANCHURYAN SOUP,8,60,0,2,0
183,SWEET CORN SOUP,8,60,0,2,0
184,HOT &SOUR SUOP,8,60,0,2,0
185,VEG CLEAR  SOUP,8,60,0,2,0
186,PAN CHILLY DRY,9,140,0,2,0
187,PAN CHILLY GRAYVI,9,140,0,2,0
188,PANIR SEZWAN DRY,9,140,0,2,0
189,DRAGAN POTATO,9,120,0,2,0
190,MUSHRUM GOLDEN FRY,9,150,0,2,0
191,MUSHRUM CHILY DRY,9,140,0,2,0
192,PANNIR MANCHURYAN DRY,9,140,0,2,0
193,PANNIR MANCHURYAN GREVI,9,140,0,2,0
194,VEG HAKK NUDALS,9,90,0,2,0
195,VEG SEZWAN NUDAL,9,90,0,2,0
196,GOBI MANCHURYAN DRY,9,90,0,2,0
197,GOBI MANCHRYAN GRAVI,9,90,0,2,0
198,MANCHURYA DRY,9,90,0,2,0
199,MANCHRYAN GRAVI,9,90,0,2,0
200,CHAINIC BHEL,9,90,0,2,0
201,BABY CORN KADAI,10,140,0,2,0
202,MASHURUM KADAI,10,150,0,2,0
203,BAYB CORN PANIR KADAI,10,140,0,2,0
204,MASHURUM MASAL PALAK,10,150,0,2,0
205,MASHRUM MUTER,10,150,0,2,0
206,TRIPAL SEZWAN NUDAL /GRAVI,11,140,0,2,0
312,EXTRA BUTTER 20,25,20,0,1,0
208,"TRIPAL SEZ RICE ,MANCHURYAN",11,140,0,2,0
209,VEG SEZWAN RICE,11,120,0,2,0
210,VEG FRID RICE,11,120,0,2,0
211,MUSHURUM FRID RICE,11,120,0,2,0
212,MANCHURIYAN RICE,11,120,0,2,0
213,MANCHURYAN NUDAL,11,120,0,2,0
214,VANILA ,12,25,0,0,0
215,CHOCOLATE,12,40,0,0,0
217,STROBERY,12,30,0,0,0
219,KESAR PISTA,12,35,0,0,0
220,MANGO cup,12,25,0,0,0
221,RAVA KESARI,13,50,0,1,0
222,FRUT SALAD,13,80,0,2,0
223,FRUT SALAD WITH ICE CREEM,13,80,0,2,0
224,TEA,14,25,0,1,-1
225,COFFIY,14,35,0,1,0
226,BORNVITA ,14,35,0,1,0
227,HARLICS ,14,35,0,1,0
228,FILTER COFFEI,14,35,0,1,0
316,AMV,16,50,0,1,0
396,MENDU VADA,27,50,0,1,0
232,ONIYAN UTHTTAPPA,19,75,0,1,-3
233,TOMATO UTTHAPPA,19,75,0,1,-3
234,ONIYAN TOMATO UTTHAPPA,19,75,0,1,-3
235,ONIYAN CHILLY UTTHAPPA,19,75,0,1,0
314,MILK GLASS,14,40,0,1,0
313,EXTR CHOLA,23,40,0,2,0
242,HALF  MV,16,25,0,1,-1
243,HALF DV,16,25,0,1,-2
245,BUTTER DAL FRY ,5,90,0,2,0
246,JAIN BTTUR DAL FRY,5,90,0,2,0
247,GREEN TEA,14,30,0,1,0
248,HALF JEERA RICE,7,40,0,2,0
249,HALF PLAIN RICE,7,30,0,2,0
311,EXTRA CHEEZ 60,25,60,0,1,0
310,EXTRA CHEEZ,25,30,0,1,0
309,CHTNY 30,25,30,0,1,0
308,SABAR 60,25,60,0,1,-1
254,CHOLA BATORR,23,100,0,2,-3
255,CHEZ MYSUR MASALA,18,120,0,1,0
256, CHEZ MYSUAR SADA,18,110,0,1,0
257,half veg sabji,1,50,0,2,0
259,I DV MV,16,75,0,1,0
260,HALF MANCHURYAN,9,50,0,2,0
261,HALF AKK NUDAL,9,50,0,2,0
262,BAJI ONLY,23,50,0,1,0
263,EX BHATORA 1,23,30,0,2,-1
268,samar 1 vati,16,10,0,1,0
307,SAMBAR 30,25,30,0,1,0
271,DHAI VADA 1PC,16,40,0,1,0
272,I DV,16,50,0,1,-4
273,A DV,16,50,0,1,0
274,APPEAL SHEK,21,60,0,1,0
275,PAINAPAL JUCEI,21,60,0,1,0
276,MUSAMBI&PAINAPAL MIX JUCE,21,60,0,1,0
277,COLD COFFEE,14,80,0,1,0
278,open sada,18,80,0,1,0
470,SEZ FRID RICE,30,120,0,2,0
281,ONIYAN SADA,17,80,0,1,0
305,SAMBAR ,25,10,0,1,0
283,ONIYAN RAVA SADA,18,90,0,1,-1
284,ONIYAN RAVA MASALA,18,99,0,1,0
285,MASHURUM MASALA,9,150,0,2,0
306,SAMBAR 20,25,20,0,1,0
287, ONION  MY MASALA,18,100,0,1,0
490,KAJU KARI,30,150,0,2,0
493,VEZ CHEEZ PIZA,30,140,0,2,-7
292,BUTER IDLY,16,70,0,1,0
291,MASALA DOSA CUTTING,18,70,0,1,0
304,EXTRA DHI VATI,25,20,0,1,0
294,SAMBAR RICE,25,80,0,1,0
295,CURD RICE,7,90,0,2,0
296,PULAV RAITH ..,25,70,0,1,-1
473,HAKK NUDAL,30,95,0,2,0
299,"JEERA RICE,,",25,60,0,2,0
300,"PLAIN RICE,,",25,50,0,2,0
301,DAL RICE,25,90,0,2,0
302,atta 60,25,60,0,1,0
303,atta 30,25,30,0,1,0
322,CHEEZ OPAN MASALA,18,120,0,1,0
323,CHEEZ MYSUR SADA,18,110,0,1,0
333,CHEEZ PULAV,7,140,0,2,1
327,PLAIN DAL VADA,16,40,0,1,0
328,PLAIN M V,16,40,0,1,0
329,PLAIN A V,16,40,0,1,0
330,PANNIR BIRYANI,7,110,0,2,0
331,RASAM RICE,25,50,0,1,0
332,SOUTH INDIAN PLATER,17,110,0,1,0
498,DAL FRI BTTUR,30,100,0,2,0
354,HALF MUTER PANNIR,26,70,0,2,0
355,HALF VEG KOLA PURI,26,60,0,2,0
356,HALF KAJU KARI,26,80,0,2,0
357,HALF MANCHRYAN DRY,26,50,0,2,0
474,MANCHURYAN DRY,30,95,0,2,0
512,SP CHEESE PAV BAJI,23,110,0,1,0
365,HALF VEG BIRYANI,26,60,0,2,0
358,HALF HAKK NUDALS,26,50,0,2,0
352,HALF CHANA MASALA,26,50,0,2,0
489,MASHURUM KADAI,30,150,0,2,0
359,HALF VEG FRIED RICE,26,70,0,2,-6
360,HALF MANCHURYAN NUDAL,26,70,0,2,0
361,HALF JEERA RICE,26,40,0,2,0
486,PANNIR KADAI,30,150,0,2,0
487,SHAI PANNIR,30,140,0,2,0
434,IDLY SAMBAR,29,50,0,1,0
336,KAJU DRKSH C,12,25,0,0,0
337,ALMUND CARNIWAL C,12,40,0,0,0
