id,sub_category_id,name,price,desc,img,created_at,updated_at,deleted_at
,25,CHTNY 30,30,Y,CHTNY 30.jpg,,,
,25,SABAR 60,60,Y,SABAR 60.jpg,,,
,23,CHOLA BATORR,100,W,CHOLA BATORR.jpg,,,
,18,CHEZ MYSUR MASALA,120,R,CHEZ MYSUR MASALA.jpg,,,
,18, CHEZ MYSUAR SADA,110,R, CHEZ MYSUAR SADA.jpg,,,
,1,half veg sabji,50,A,half veg sabji.jpg,,,
,16,I DV MV,75,P,I DV MV.jpg,,,
,9,HALF MANCHURYAN,50,I,HALF MANCHURYAN.jpg,,,
,9,HALF AKK NUDAL,50,I,HALF AKK NUDAL.jpg,,,
,23,BAJI ONLY,50,W,BAJI ONLY.jpg,,,
,23,EX BHATORA 1,30,W,EX BHATORA 1.jpg,,,
,16,samar 1 vati,10,P,samar 1 vati.jpg,,,
,25,SAMBAR 30,30,Y,SAMBAR 30.jpg,,,
,16,DHAI VADA 1PC,40,P,DHAI VADA 1PC.jpg,,,
,16,I DV,50,P,I DV.jpg,,,
,16,A DV,50,P,A DV.jpg,,,
,21,APPEAL SHEK,60,U,APPEAL SHEK.jpg,,,
,21,PAINAPAL JUCEI,60,U,PAINAPAL JUCEI.jpg,,,
,21,MUSAMBI&PAINAPAL MIX JUCE,60,U,MUSAMBI&PAINAPAL MIX JUCE.jpg,,,
,14,COLD COFFEE,80,N,COLD COFFEE.jpg,,,
,18,open sada,80,R,open sada.jpg,,,
,30,SEZ FRID RICE,120,#N/A,SEZ FRID RICE.jpg,,,
,17,ONIYAN SADA,80,Q,ONIYAN SADA.jpg,,,
,25,SAMBAR ,10,Y,SAMBAR .jpg,,,
,18,ONIYAN RAVA SADA,90,R,ONIYAN RAVA SADA.jpg,,,
,18,ONIYAN RAVA MASALA,99,R,ONIYAN RAVA MASALA.jpg,,,
,9,MASHURUM MASALA,150,I,MASHURUM MASALA.jpg,,,
,25,SAMBAR 20,20,Y,SAMBAR 20.jpg,,,
,18, ONION  MY MASALA,100,R, ONION  MY MASALA.jpg,,,
,30,KAJU KARI,150,#N/A,KAJU KARI.jpg,,,
,30,VEZ CHEEZ PIZA,140,#N/A,VEZ CHEEZ PIZA.jpg,,,
,16,BUTER IDLY,70,P,BUTER IDLY.jpg,,,
,18,MASALA DOSA CUTTING,70,R,MASALA DOSA CUTTING.jpg,,,
,25,EXTRA DHI VATI,20,Y,EXTRA DHI VATI.jpg,,,
